證券名單
截 至 26/01/2026
股份代號	股份名稱（繁體）	股份名称（简体）
630	雋泰控股	隽泰控股
631	三一國際	三一国际
632	中港石油	中港石油
635	彩星集團	彩星集团
636	KLN	KLN
637	利記	利记
638	廣和通	广和通
639	首鋼資源	首钢资源
640	星謙發展	星谦发展
641	中國恒天立信國際	中国恒天立信国际
643	恆富控股	恒富控股
645	安域亞洲	安域亚洲
646	中國環保科技	中国环保科技
648	京玖康療	京玖康疗
650	普達特科技	普达特科技
653	卓悅控股	卓悦控股
655	香港華人有限公司	香港华人有限公司
656	復星國際	复星国际
657	環科國際	环科国际
658	中國高速傳動	中国高速传动
659	周大福創建	周大福创建
660	瑋俊生物科技	玮俊生物科技
661	中國大冶有色金屬	中国大冶有色金属
662	亞洲金融	亚洲金融
663	金山能源	金山能源
666	瑞浦蘭鈞	瑞浦兰钧
667	中國東方教育	中国东方教育
669	創科實業	创科实业
670	中國東方航空股份	中国东方航空股份
672	眾安集團	众安集团
673	中國衛生集團	中国卫生集团
674	中國唐商	中国唐商
675	堅寶國際	坚宝国际
676	創信國際	创信国际
677	金源發展國際實業	金源发展国际实业
679	亞洲聯網科技	亚洲联网科技
681	中民控股	中民控股
682	超大現代	超大现代
683	嘉里建設	嘉里建设
684	亞倫國際	亚伦国际
685	世界華文媒體	世界华文媒体
686	北京能源國際	北京能源国际
687	泰昇集團	泰升集团
688	中國海外發展	中国海外发展
689	長盈集團（控股）	长盈集团（控股）
690	聯康生物科技集團	联康生物科技集团
691	山水水泥	山水水泥
693	陳唱國際	陈唱国际
694	北京首都機場股份	北京首都机场股份
695	東吳水泥	东吴水泥
696	中國民航信息網絡	中国民航信息网络
697	首程控股	首程控股
698	通達集團	通达集团
699	均勝電子	均胜电子
700	騰訊控股	腾讯控股
701	CNT GROUP	CNT GROUP
702	中國油氣控股	中国油气控股
703	FUTURE BRIGHT	FUTURE BRIGHT
704	和嘉控股	和嘉控股
707	亞洲電視控股	亚洲电视控股
708	恒大汽車	恒大汽车
709	佐丹奴國際	佐丹奴国际
710	京東方精電	京东方精电
711	亞洲聯合基建控股	亚洲联合基建控股
