278	BMRN	BioMarin Pharmaceutical Inc.	10.80B	56.21	-1.70%	3.09B
279	STRL	Sterling Infrastructure, Inc.	10.79B	351.39	-3.53%	2.23B
280	TECH	Bio-Techne Corporation	10.62B	68.16	-2.14%	1.22B
281	APLD	Applied Digital Corporation	10.54B	37.69	8.49%	263.99M
282	FIVE	Five Below, Inc.	10.50B	190.37	-0.50%	4.43B
283	SEIC	SEI Investments Company	10.50B	85.20	-1.16%	2.25B
284	MANH	Manhattan Associates, Inc.	10.49B	174.02	2.24%	1.07B
285	XP	XP Inc.	10.48B	20.19	1.79%	3.23B
286	CART	Maplebear Inc.	10.48B	39.90	3.88%	3.63B
287	JAZZ	Jazz Pharmaceuticals plc	10.25B	168.71	-1.34%	4.16B
288	TIGO	Millicom International Cellular S.A.	10.25B	61.35	1.30%	5.59B
289	ENSG	The Ensign Group, Inc.	10.09B	175.46	0.27%	4.83B
290	SAIL	SailPoint, Inc.	10.00B	17.80	2.83%	1.02B
291	PPC	Pilgrim's Pride Corporation	9.98B	42.03	0.72%	18.35B
292	SOLS	Solstice Advanced Materials, Inc.	9.97B	62.84	-0.13%	3.81B
293	CHYM	Chime Financial, Inc.	9.91B	26.46	-2.00%	2.07B
294	AEIS	Advanced Energy Industries, Inc.	9.90B	262.19	-4.86%	1.72B
295	POOL	Pool Corporation	9.87B	265.02	-0.67%	5.29B
296	TTMI	TTM Technologies, Inc.	9.82B	95.02	-2.57%	2.78B
297	WTFC	Wintrust Financial Corporation	9.78B	145.99	-4.09%	2.63B
298	ABVX	ABIVAX Société Anonyme	9.76B	122.12	-1.22%	6.23M
299	SANM	Sanmina Corporation	9.70B	177.83	-0.94%	8.13B
300	AAL	American Airlines Group Inc.	9.68B	14.67	-2.33%	54.29B
301	TTEK	Tetra Tech, Inc.	9.66B	36.97	-0.48%	4.62B
302	AXSM	Axsome Therapeutics, Inc.	9.37B	185.96	-0.55%	561.26M
303	UMBF	UMB Financial Corporation	9.35B	123.16	-1.53%	2.22B
304	SAIA	Saia, Inc.	9.34B	351.31	-2.51%	3.23B
305	LINE	Lineage, Inc.	9.26B	36.50	3.58%	5.36B
306	ARWR	Arrowhead Pharmaceuticals, Inc.	9.21B	67.05	-3.65%	829.45M
307	IESC	IES Holdings, Inc.	9.20B	461.51	-2.04%	3.37B
308	ONB	Old National Bancorp	9.17B	23.54	-2.89%	2.30B
309	APA	APA Corporation	9.15B	25.80	0.98%	9.38B
